;X;Y;kappa
245;127.3167246;-93.3470159;-0.0099393
246;128.8990864;-90.7758354;-0.0091188
247;130.5476666;-88.2598624;-0.0079634
248;132.2571375;-85.7946166;-0.0074260
249;134.0221711;-83.3756173;-0.0064448
250;135.8374395;-80.9983840;-0.0059789
251;137.6976151;-78.6584364;-0.0050864
252;139.5973698;-76.3512939;-0.0046490
253;141.5313759;-74.0724759;-0.0037858
254;143.4943054;-71.8175021;-0.0033512
255;145.4808306;-69.5818920;-0.0025084
256;147.4856236;-67.3611649;-0.0020708
257;149.5034275;-65.1509008;-0.0012871
258;151.5309562;-62.9483527;-0.0011025
259;153.5671030;-60.7526240;-0.0009374
260;155.6108739;-58.5629138;-0.0008479
261;157.6612750;-56.3784214;-0.0006720
262;159.7173124;-54.1983460;-0.0005832
263;161.7779921;-52.0218868;-0.0004053
264;163.8423202;-49.8482431;-0.0003160
265;165.9093028;-47.6766139;-0.0001376
266;167.9779459;-45.5061985;-0.0000474
267;170.0472557;-43.3361961;0.0001021
268;172.1162381;-41.1658060;0.0001335
269;174.1839158;-38.9942409;0.0001469
270;176.2498001;-36.8211135;0.0001527
271;178.3139587;-34.6464922;0.0001432
272;180.3764897;-32.4704703;0.0001400
273;182.4374911;-30.2931407;0.0001328
274;184.4970609;-28.1145968;0.0001293
275;186.5552972;-25.9349315;0.0001222
276;188.6122980;-23.7542382;0.0001187
277;190.6681613;-21.5726098;0.0001117
278;192.7229852;-19.3901396;0.0001082
279;194.7768676;-17.2069206;0.0001012
280;196.8299067;-15.0230462;0.0000977
281;198.8822005;-12.8386093;0.0000907
282;200.9338469;-10.6537031;0.0000872
283;202.9849441;-8.4684209;0.0000802
284;205.0355900;-6.2828556;0.0000768
285;207.0858827;-4.0971006;0.0000698
286;209.1359202;-1.9112488;0.0000663
287;211.1858006;0.2746065;0.0000594
288;213.2356218;2.4603721;0.0000559
289;215.2854820;4.6459550;0.0000490
290;217.3354791;6.8312621;0.0000455
291;219.3857112;9.0162000;0.0000387
292;221.4362763;11.2006758;0.0000351
293;223.4872725;13.3845962;0.0000208
294;225.5387856;15.5678851;0.0000102
295;227.5908649;17.7505172;-0.0000105
296;229.6435530;19.9324770;-0.0000210
297;231.6968921;22.1137490;-0.0000418
298;233.7509247;24.2943175;-0.0000522
299;235.8056932;26.4741671;-0.0000731
300;237.8612399;28.6532823;-0.0000835
301;239.9176074;30.8316474;-0.0001044
302;241.9748380;33.0092469;-0.0001148
303;244.0329740;35.1860652;-0.0001357
304;246.0920580;37.3620869;-0.0001462
305;248.1521323;39.5372964;-0.0001671
306;250.2132393;41.7116781;-0.0001776
307;252.2754214;43.8852164;-0.0001985
308;254.3387210;46.0578960;-0.0002090
309;256.4031806;48.2297011;-0.0002300
310;258.4688425;50.4006162;-0.0002405
311;260.5357492;52.5706258;-0.0002615
312;262.6039430;54.7397144;-0.0002720
313;264.6734663;56.9078664;-0.0002930
314;266.7443616;59.0750662;-0.0003062
315;268.8166713;61.2412983;-0.0003674
316;270.8904377;63.4065472;-0.0004375
317;272.9657033;65.5707973;-0.0005913
318;275.0425439;67.7339909;-0.0006388
319;277.1213380;69.8956863;-0.0007202
320;279.2026260;72.0552378;-0.0007625
321;281.2869495;74.2119974;-0.0008461
322;283.3748501;76.3653172;-0.0008879
323;285.4668696;78.5145495;-0.0009713
324;287.5635496;80.6590463;-0.0010129
325;289.6654318;82.7981598;-0.0010957
326;291.7730579;84.9312422;-0.0011370
327;293.8869695;87.0576455;-0.0012193
328;296.0077084;89.1767219;-0.0012603
329;298.1358161;91.2878235;-0.0013420
330;300.2718345;93.3903025;-0.0013827
331;302.4163051;95.4835111;-0.0014639
332;304.5697696;97.5668012;-0.0015044
333;306.7327698;99.6395252;-0.0015854
334;308.9058473;101.7010351;-0.0016259
335;311.0895437;103.7506831;-0.0017071
336;313.2844008;105.7878213;-0.0017478
337;315.4909602;107.8118018;-0.0018298
338;317.7097636;109.8219768;-0.0018709
339;319.9413527;111.8176984;-0.0019117
340;322.1862692;113.7983188;-0.0019916
341;324.4450546;115.7631901;-0.0020192
342;326.7182426;117.7116726;-0.0020670
343;329.0060062;119.6434827;-0.0020885
344;331.3080268;121.5588232;-0.0020759
345;333.6239505;123.4579318;-0.0020722
346;335.9534231;125.3410463;-0.0020634
347;338.2960906;127.2084043;-0.0020592
348;340.6515989;129.0602437;-0.0020508
349;343.0195941;130.8968022;-0.0020466
350;345.3997221;132.7183175;-0.0020380
351;347.7916288;134.5250274;-0.0020337
352;350.1949603;136.3171696;-0.0020249
353;352.6093623;138.0949818;-0.0020204
354;355.0344810;139.8587018;-0.0020111
355;357.4699623;141.6085673;-0.0020063
356;359.9154521;143.3448161;-0.0019964
357;362.3705964;145.0676859;-0.0019913
358;364.8350412;146.7774144;-0.0019806
359;367.3084323;148.4742395;-0.0019752
360;369.7904158;150.1583988;-0.0019638
361;372.2806377;151.8301300;-0.0019580
362;374.7787438;153.4896710;-0.0019458
363;377.2843802;155.1372594;-0.0019396
364;379.7971928;156.7731330;-0.0019266
365;382.3168275;158.3975296;-0.0019202
366;384.8429303;160.0106868;-0.0018800
367;387.3752408;161.6127665;-0.0018251
368;389.9138461;163.2036481;-0.0017176
369;392.4589139;164.7831458;-0.0016639
370;395.0106121;166.3510735;-0.0015573
371;397.5691084;167.9072452;-0.0015042
372;400.1345707;169.4514750;-0.0013988
373;402.7071667;170.9835770;-0.0013464
374;405.2870643;172.5033650;-0.0012423
375;407.8744312;174.0106533;-0.0011905
376;410.4694351;175.5052557;-0.0010879
377;413.0722441;176.9869864;-0.0010355
378;415.6830257;178.4556593;-0.0009149
379;418.3017843;179.9113264;-0.0008808
380;420.9278958;181.3549540;-0.0007693
381;423.5605853;182.7877277;-0.0007135
382;426.1990779;184.2108334;-0.0006009
383;428.8425985;185.6254569;-0.0005444
384;431.4903722;187.0327839;-0.0004306
385;434.1416241;188.4340003;-0.0003736
386;436.7955792;189.8302919;-0.0002591
387;439.4514625;191.2228443;-0.0002018
388;442.1084991;192.6128435;-0.0000872
389;444.7659140;194.0014751;-0.0000299
390;447.4229323;195.3899251;0.0000369
391;450.0787085;196.7795546;0.0000103
392;452.7321164;198.1724228;-0.0000438
393;455.3819601;199.5707621;-0.0000725
394;458.0270440;200.9768050;-0.0002607
395;460.6661720;202.3927840;-0.0004479
396;463.2981485;203.8209314;-0.0008778
397;465.9219833;205.2631442;-0.0007418
398;468.5391145;206.7173590;-0.0000756
399;471.1525632;208.1789308;0.0002172
