,X,Y
226,-11.091929768015092,-150.2920917732807
227,-10.933899528672166,-150.94653271278256
228,-10.772893537609557,-151.6002479057719
229,-10.608890162408496,-152.25321754903766
230,-10.44186786639339,-152.905421499154
231,-10.271805216330666,-153.5568392714532
232,-10.098680890257128,-154.20745003914712
233,-9.922473685435888,-154.85723263260158
234,-9.743162526437157,-155.50616553876915
235,-9.56071246402688,-156.1542229221153
236,-9.375111084570383,-156.80138479138088
237,-9.186341288318427,-157.4476295563901
238,-8.994382594399648,-158.09293429450682
239,-8.799190360905179,-158.7372683083434
240,-8.600765030727313,-159.38061399747534
241,-8.39908620505554,-160.0229472016639
242,-8.194106047602663,-160.66423450930307
243,-7.985833195343864,-161.3044599899924
244,-7.774222886852824,-161.9435901073557
245,-7.55926823883283,-162.58160320360932
246,-7.340936392933955,-163.21846849050624
247,-7.119216251669376,-163.8541620961337
248,-6.894071390828162,-164.48865082402278
249,-6.665502396429727,-165.12191409332547
250,-6.433457071542127,-165.7539118034177
251,-6.1979398592957216,-166.38462388425592
252,-5.9589273841703605,-167.01401973809593
253,-5.716376504994149,-167.64206046491003
254,-5.47028789134672,-168.26872338776928
255,-5.220638951746362,-168.8939764737184
256,-4.967406801691243,-169.51778695265244
257,-4.710557404278356,-170.1401167712158
258,-4.45008465153844,-170.76093872935152
259,-4.1859676151823395,-171.3802190472653
260,-3.9181858241073444,-171.9979235135799
261,-3.64671928044021,-172.61401749255484
262,-3.371548475562341,-173.22846593179685
263,-3.092654406098427,-173.8412333704657
264,-2.8100185898494128,-174.45228394797724
265,-2.523623081650703,-175.06158141320705
266,-2.2334504891351727,-175.6690891341958
267,-1.93948398838082,-176.27477010835665
268,-1.6417073394230035,-176.878586973186
269,-1.3401049016091098,-177.4805020174751
270,-1.0346479688957215,-178.0804701758216
271,-0.7253322618481609,-178.67845801976193
272,-0.4121455631014355,-179.27442758743734
273,-0.09507481042399282,-179.86833985861233
274,0.22591427198999423,-180.46014357091985
275,0.5508150874206189,-181.04980875387096
276,0.8796395883026408,-181.63729494104246
277,1.21242228846695,-182.22254806674763
278,1.54914760896658,-182.80554169571653
279,1.8898500487917498,-183.3862200365224
280,2.2345213193126163,-183.96455141244186
281,2.583188573300761,-184.54048246806704
282,2.935841702004848,-185.1139815526549
283,3.292514517745242,-185.68498934973374
284,3.653189946027801,-186.25347733843532
285,4.017890524691415,-186.8193915066752
286,4.386621127998633,-187.382688097576
287,4.759378146992987,-187.94332834515822
288,5.136172788548101,-188.5012630171877
289,5.517017377922538,-189.0564410634556
290,5.901903217629636,-189.60882507114962
291,6.290833899183555,-190.15836861138487
292,6.683811941972352,-190.7050252095048
293,7.080838782922568,-191.24874837375188
294,7.481917816219121,-191.78948934480601
295,7.887046249677049,-192.32720312270615
296,8.296219363230914,-192.86184550697817
297,8.709434232877287,-193.39337025628691
298,9.126686817300305,-193.9217312586475
299,9.547971953887442,-194.446882561675
300,9.973283355882083,-194.96877840294482
301,10.40261905517237,-195.48736869813214
302,10.835967362145842,-196.0026106123042
303,11.273317780790492,-196.51445975670154
304,11.714659464230712,-197.02287142039992
305,12.15998044402549,-197.52780123607184
306,12.609267634419037,-198.0292052099762
307,13.062521796375878,-198.52702603044568
308,13.519713879494603,-199.02123270645876
309,13.980827379675345,-199.5117825783363
310,14.445855543072362,-199.99862304856873
311,14.91477800522285,-200.48171364525783
312,15.387566935981251,-200.96102088668667
313,15.864220439718407,-201.43648511250663
314,16.344701831994037,-201.90808069343942
315,16.828997619730455,-202.37575829729715
316,17.317083375750684,-202.8394791547664
317,17.808934140741908,-203.29920466891195
318,18.30452742284935,-203.75489318171637
